text,true_label,predicted_label
who gets to be,0,1
bankai fam skanks the huntsmen ft raf almighty produced by kyo via bankai friday worldwide,0,1
retweeting our way to happiness sharing giving spreading light living truth simple htt,0,1
the whole world knows potus is anti american jihadinamerica,0,1
poem by on,0,1
beware the snowball effect blackman pa 2,1,0
ya think it s bcause the women there r muslim don t c any uncovered heads london is in big trouble 4 sure,0,1
sad how muslims eat during the ramadaan noshame,0,1
twinklatinboys na slut snapshot hot nasty naughty sexy horny shy porn nude kinky xxx y,0,1
in the past year or two i can t recall a more depressing day for news watching opinion reading and political speech o,0,1
well flip flop to you all nationalflipflopday,0,1
dear sirs can you please transfer shri pahlaj nihalani to a press regulatory body,0,1
amp u can t deny that ppl s attitudes change on how u look amp what u wear or whom you re with thats why ppl change to get attention,0,1
what a goofy idiot lot of goofy dumb americans for him to get the nod goofydonnie,0,1
the running the world cup is not a negative better than suppoing the corruption that is the ioc amp,0,1
not just men there are plenty of female predators fact,0,1
porn vids web free sex,1,0
how u pregnant and fucking different niggas,0,1
being nailsdone idgt,0,1
yapping is right idiot trump,0,1
this is whats wrong with america must step down prolife orlando,0,1
your an idiot did you notice your losing your incompetence is gop is done,0,1
my gf used uber without forcing language preferences so you are reading my data and making ux choices,1,0
facebook is just a political warzone these days,0,1
so much for the seedless watermelon bought there goes 4 99 notsoseedless ahhh,0,1
painful truth another gunman w hate ideology racism trumpism islam christian has easy access to assault weapons,0,1
funny i m not the least bit about it,0,1
sad marrying a palin should be automatic forfeiture of a moh,0,1
bout to spend new year s eve playing the game lol,1,0
what is a detoxdiet altwaystoheal healthy,0,1
waspi women made full contributions in good faith only to have the goalposts moved,0,1
people who do this should not be called parents,0,1
rightly so gop hates trump more than obama,0,1
finally now on to other suppos leagueoflegends,0,1
only 10 countries in the entire world are not currently at war,0,1
i got muted on facebook nogift,0,1
mr king is saying he didn t do that you whinnylittlebitch amp claims you don t fairly pay your workers,0,1
it s time to end now days of our lives live shyan selah cafenoirproject,1,0
a classic trump follower,0,1
millennials still not by prospect of woman president via,0,1
gulf steam is moving along eastern seaboard hey republicans it is obama s fault nail him on that too,0,1
amanda is pissed because trump ruined her boyfriend s political career,0,1
have had setup bbc iplayer to watch non us news again surprised how good news can be vs gun amp voilence only topics p,0,1
my condolences goes out to the people of orlando pulseclub lgbtq imwithyou,0,1
you re the definition of the hen inviting the fox onto henhouse,0,1
every 1 talks abt raising pollution level in bengaluru but no encouragement for cyclists walkers from any of d authorities,0,1
so timely there are loads of war hawks in america,0,1
i hope u know i wasn t saying that about u i was saying it about leanne,0,1
annenbergspace stodda photos refugee s from conflict in iraq enjoy a peaceful h,0,1
people use tragedy like this to fuel their hate agenda towards entire groups of people and that s the opposite of helpful,0,1
what a piss poor excuse,0,1
over privileged black child who s been brainwashed into believing a misconstrued version of america,0,1
advanced value chain videos at valuechain,1,0
so sorry,1,0
why am i not surprised a murderer got endorsed by our president this is so screwed up what happened to america killary,0,1
was told by a pain management doc that cannabis does not help any kind of nervepain and he tried to push opioids ignorance,0,1
it s to see the spew that amp so called shows like come up with traitors with no truth,0,1
