text,true_label,predicted_label
beware the snowball effect blackman pa 2,1,0
black walnut 3d wooden picture horsehour woodcutwednesday wooden giftideas horse mythos craftshout,0,1
here s being a racist troll would love for you to spread the word,1,0
ya think it s bcause the women there r muslim don t c any uncovered heads london is in big trouble 4 sure,0,1
this should have been enough 2 just say no notmypres wtf2016 neverump unpresidented bigot,1,0
montana says no to racism whitefish montana nazis christmas hanukkah richardspencer andrewanglin,1,0
the immature is just trying to make a fool of xenophobe immature moron,1,0
porn vids web free sex,1,0
the uk governments new anti semitism definition conflates with valid criticism of israel opendemocracy,1,0
jeff sessions omits decades of records for his ag confirmation hearing you can t hide,1,0
yapping is right idiot trump,0,1
president woodrowwilson held a private screening of d w griffith s bih of a nation history 13th,1,0
this sums up why i voted for brexit not or littleenglander syndrome but sovereignty and democracy,1,0
omg so hea breaking my prayers go out to this family god bless hate hatekills senselesskilling,0,1
stop legitimizing by using alt right amp call them what they are neonazis from nazi doctrine incl ultranationalism,1,0
my gf used uber without forcing language preferences so you are reading my data and making ux choices,1,0
note for those who call wn for opposing the latest ad damn right we are get that filth off the net you race traitors,1,0
painful truth another gunman w hate ideology racism trumpism islam christian has easy access to assault weapons,0,1
says a president elect that calls americans enemies hateful ignorant,1,0
bout to spend new year s eve playing the game lol,1,0
rightly so gop hates trump more than obama,0,1
content abuse pedophilia stalking harassment gaslighting ableism threats suicide nsfw self harm,1,0
it s time to end now days of our lives live shyan selah cafenoirproject,1,0
a classic trump follower,0,1
salt lake tech workers experience least racism survey says deseret news,1,0
reasonswhyilovemyself i am a strong independent women who doesn t take no for an answer goaloriented successful ilovemefirst,0,1
how is the word love even in your vocabulary do you know what it means notmypresident resist 2017,1,0
both amp dumb pelosi,1,0
yes that s bcuz trump amp his surrogates would turn this sad situation into a political motivation 4 his suppoers rip,0,1
gulf steam is moving along eastern seaboard hey republicans it is obama s fault nail him on that too,0,1
amanda is pissed because trump ruined her boyfriend s political career,0,1
girl get fuck bondage leather girl,1,0
jcpenny ranting so no one no one in line said anything silence is complicity in racism speak up pe,1,0
i decided to become a feminist beginning 1 1 17 if any feminists are reading plz help to find educational materials feminism,1,0
sikh temple vandalised in in calgary wso condemns act,1,0
last week christina grimmie then orlando yesterday a british politician where does the hate come from,0,1
people use tragedy like this to fuel their hate agenda towards entire groups of people and that s the opposite of helpful,0,1
a giant version of the flag of rebellion sedition and flapping in virginia on i 95n,1,0
isn t it time we realized what we ve done hate exploitation read america s history,1,0
nigelfarage for too many years any criticism of immigration or its effects on society have been shut down by,1,0
over privileged black child who s been brainwashed into believing a misconstrued version of america,0,1
advanced value chain videos at valuechain,1,0
a amp e scraps controversial kkk series tv cable disney boycott,1,0
so sorry,1,0
pure today in cologne everybody looking arabic is kettled female friends had to leave for better pics of media presented by gov,1,0
just got done watching 13 hrs man what did we do to our people shameful we need trump now our gov is pathetic,0,1
silence betrays the innocent activism hunger nofur animalrights noyulin eah wildlife vegan lgbt,1,0
well donald trump has officially reached the bottom this clown is paying hood chicks for promotion,0,1
it s 2016 would you question hillary like that considering her age condition amp fact,1,0
work out the idea of creating a substantive argument and making a point rather than calling names,1,0
scrutinize savor amp dispose unbelievable chosen headlines in revolution against racism humanity,1,0
the real jeff sessions neverump swampmonster,1,0
so deep need2know if clintons r eating brown bread drinkdark milk,1,0
how far has systemic hate come first giving a shit about where trans people piss amp now killing unarmed gorillas s,0,1
retweet it sweetie bbw curvy bbws big ass pussy re sex sexy thick bbwlover kik vip retweet,0,1
obama just cleared the cow path old leaky bovine hillary will clatter along to return to the house she o,0,1
new york bistro faces shocking accusations hosts hid minorities at cramped tables out of sight,1,0
i say it was just as good as thekingsspeech but it won t win an oscar,1,0
