text,true_label,predicted_label
the whole world knows potus is anti american jihadinamerica,0,1
beware the snowball effect blackman pa 2,1,0
ya think it s bcause the women there r muslim don t c any uncovered heads london is in big trouble 4 sure,0,1
the immature is just trying to make a fool of xenophobe immature moron,1,0
yapping is right idiot trump,0,1
president woodrowwilson held a private screening of d w griffith s bih of a nation history 13th,1,0
my gf used uber without forcing language preferences so you are reading my data and making ux choices,1,0
painful truth another gunman w hate ideology racism trumpism islam christian has easy access to assault weapons,0,1
people who do this should not be called parents,0,1
rightly so gop hates trump more than obama,0,1
a classic trump follower,0,1
yes that s bcuz trump amp his surrogates would turn this sad situation into a political motivation 4 his suppoers rip,0,1
millennials still not by prospect of woman president via,0,1
amanda is pissed because trump ruined her boyfriend s political career,0,1
i hope u know i wasn t saying that about u i was saying it about leanne,0,1
over privileged black child who s been brainwashed into believing a misconstrued version of america,0,1
currentmood linkinpark amp arrogantbastard alt music amp an arro,0,1
so sorry,1,0
pure today in cologne everybody looking arabic is kettled female friends had to leave for better pics of media presented by gov,1,0
the latest the happy design daily thanks to staup,0,1
silence betrays the innocent activism hunger nofur animalrights noyulin eah wildlife vegan lgbt,1,0
shame on and for suppoing a racist like this is not the conservative pay i love,0,1
don t know who that might be,0,1
work out the idea of creating a substantive argument and making a point rather than calling names,1,0
be the real you the sweet you the successful and the you,0,1
so deep need2know if clintons r eating brown bread drinkdark milk,1,0
how far has systemic hate come first giving a shit about where trans people piss amp now killing unarmed gorillas s,0,1
new york bistro faces shocking accusations hosts hid minorities at cramped tables out of sight,1,0
i say it was just as good as thekingsspeech but it won t win an oscar,1,0
that s the problem he doesn t even realize that mentioning the judges ethnicity is racist,0,1
of all the republicans i am most disappointed w i thought he was a decent man until he endorsed trump,0,1
when i asked the sales assistants if they heard they quickly copped out hmm i wouldn t be surprised they said,1,0
how did it get that bad what did no one notice why why hate hate does that jocoxmp insipid tragedy tolerance,0,1
there is no difference between your ignorance and you re dumb theron,0,1
rio2016medals here they are loveathletics,0,1
please note this story is fake read the comments africans are lazy good at sex theft hillarydesperation,0,1
incredible content beforesex,1,0
i thought she had 72 assistants gladshesgone nohope,1,0
the dems need to keep feeding their narrative marxism,1,0
makes you ask yourself who am i then am i anybody until god oh thank you god,1,0
why cant we run this thug fool agitator out of stl,1,0
hello why not vote,0,1
j c penney employee holds customer in headlock wow and they havent responded corporatebs boycottjcpenney,1,0
share i never been thoughj experience amp i never looked at caucasians any differently watch this,1,0
lock the gate pamgelleheracist mmiw mmiwg,1,0
lt no more feeding at the public trough piggy michelleobama,1,0
democrats are the 1st to tell jokes,1,0
smoking a black in an eno,0,1
bigot brigade still pumping klanservative racebait,0,1
the education of public servants is a critical pa of the path forward so true,1,0
you re running out of hater bitches to whiteknight you,1,0
never be content to sit back and watch as others rights are trampled upon your rights could be next iqg,1,0
meet the wilmington peacekeepers they walk in beauty cnv week of actions peace povey climate,1,0
i hate rere,0,1
why do you keep posting aicles from breitba are they the only ones saying positive things about you pathetic,0,1
cases should not be treated lightly the judge would ve given this so called man a longer sentence if he cared,0,1
trump and clinton are leading its up to the americans to choose the lesser evil na mds si bernie sanders,0,1
icymi yesterday this is what one peh venue offers for nye enteainment rapeculture vaw some ht,1,0
stlouis still needs help thinks he s survived we need to get him out of office asap ferguson,1,0
based on recent commercials from state farm and old navy omarosa s choice is clearly,1,0
innocent but 80snostalgia i d love a gollybar said every irish kid ever,1,0
this is sooooo or may be just funny,1,0
next attack wont be in japan guaranteed smaimmigration zeroattacks istanbul religionofpeace reliability,1,0
i gotta hand it to you keeping it pretty darn cool in the face of such blatant,1,0
friday y all druzy design black earring jewelry gbj1455 elegant women,0,1
7 horribly ads from 2016 that made us cringe,1,0
outlets reddragondas recoils 22g pvd black finish 4 980 follow,0,1
huge black dicks porn pussy,0,1
if they say their comments are just a joke or smth it will be just their opinion i don t think so it s a,1,0
just pre ordered this it sounds a really great book,1,0
sick verbal irony of the left equaling homophobe amp islamophobe protecting both the viper amp the mouse as the viper eats the mouse,0,1
what do you think of alexjones saying draintheswamp populationcontrol you had good videos with him they got him,1,0
potus is attempting to sabotage or country in his final days israel obamacare isis energy russia,1,0
throwback x chinatown x vacation smile berlin bln blond white black brown,0,1
everybody hates the white crayon,0,1
stephen colbe contributes nothing to society hoping he moves to canada when trump wins loser ovehehill maga,0,1
2016 the year in,1,0
girlsinsteam tech media agentsofshield the paley,0,1
i am not shopping at until they purge all trump products who do they think canadians are,1,0
it isn t to target illegals and or criminals it s just plain commonsense,1,0
reading list for the new year afrofuturism anarchism capitalism colonialism magicrealism,1,0
sex stories women s nudes,0,1
amp the media constantly repeating him has ushered in an unfounate acceptance of insults as political rhetoric,0,1
theresistance resist we must stand together with all of our brothers and sisters,1,0
