text,true_label,predicted_label
the whole world knows potus is anti american jihadinamerica,0,1
know what mitch sadly think majlr is over your head you lash out at 1 of few last american leaders besides sessions,0,1
ya think it s bcause the women there r muslim don t c any uncovered heads london is in big trouble 4 sure,0,1
what makes you stick it on a post it and put it on your mirror spotted in sanfrancisco,0,1
yay buffer you made me twittersmaer,0,1
im laughing so haaaaard,0,1
when the rent of tay swift s new apament in nyc per month is not far off from my yearly salary whitegirlproblems,0,1
welcome new world,0,1
amp u can t deny that ppl s attitudes change on how u look amp what u wear or whom you re with thats why ppl change to get attention,0,1
a fast talking chuck no shit the irony is a bit much here birds chuck,0,1
what a goofy idiot lot of goofy dumb americans for him to get the nod goofydonnie,0,1
don t compare nuure yourself and be,0,1
the running the world cup is not a negative better than suppoing the corruption that is the ioc amp,0,1
you can try to tail us to stop butt we re just having too good of a time goldenretriever animals,0,1
not just men there are plenty of female predators fact,0,1
yapping is right idiot trump,0,1
do more morning fighting fashionblogger fashionillustrator fashionillustration,0,1
my gf used uber without forcing language preferences so you are reading my data and making ux choices,1,0
gone but never forgotten cophumor thinblueline officerbaker police,0,1
facebook is just a political warzone these days,0,1
the gorillas about to go planet of the apes on us after what happened to harambe pray4haramabe,0,1
painful truth another gunman w hate ideology racism trumpism islam christian has easy access to assault weapons,0,1
funny i m not the least bit about it,0,1
we live in a world where people complain amp post things to justify their laziness instead of getting up amp doing something to change it,0,1
sad marrying a palin should be automatic forfeiture of a moh,0,1
bout to spend new year s eve playing the game lol,1,0
waspi women made full contributions in good faith only to have the goalposts moved,0,1
football amp a major cheat night tonight girlienight,0,1
rightly so gop hates trump more than obama,0,1
you make me and all the proud we feel better when you makeamericahate thank a rube today alwaystrump,0,1
only 10 countries in the entire world are not currently at war,0,1
mr king is saying he didn t do that you whinnylittlebitch amp claims you don t fairly pay your workers,0,1
what a view oregon poland usa unitedstates holiday dj producer house,0,1
it s time to end now days of our lives live shyan selah cafenoirproject,1,0
a classic trump follower,0,1
yes that s bcuz trump amp his surrogates would turn this sad situation into a political motivation 4 his suppoers rip,0,1
millennials still not by prospect of woman president via,0,1
gulf steam is moving along eastern seaboard hey republicans it is obama s fault nail him on that too,0,1
amanda is pissed because trump ruined her boyfriend s political career,0,1
have had setup bbc iplayer to watch non us news again surprised how good news can be vs gun amp voilence only topics p,0,1
i prefeer,0,1
you re the definition of the hen inviting the fox onto henhouse,0,1
so timely there are loads of war hawks in america,0,1
what makes people is relative we have our way africa,0,1
annenbergspace stodda photos refugee s from conflict in iraq enjoy a peaceful h,0,1
last week christina grimmie then orlando yesterday a british politician where does the hate come from,0,1
people use tragedy like this to fuel their hate agenda towards entire groups of people and that s the opposite of helpful,0,1
what a piss poor excuse,0,1
just can t believe this is our nigeria in 2016,0,1
over privileged black child who s been brainwashed into believing a misconstrued version of america,0,1
dear john france actually still helping em selling alcool 24 7 and heavly lacking about police in hot violence spots,0,1
currentmood linkinpark amp arrogantbastard alt music amp an arro,0,1
appropriate for tonight s amp brussels show,0,1
check this out honored our greatest generation on d day tweets about ramadan,0,1
www sexgirl com hk hardcore eye opener,0,1
advanced value chain videos at valuechain,1,0
so sorry,1,0
let s vote for at 06 05 2016 happy bihday byunbaek byun baekhyun bihday exo b,0,1
was told by a pain management doc that cannabis does not help any kind of nervepain and he tried to push opioids ignorance,0,1
it s to see the spew that amp so called shows like come up with traitors with no truth,0,1
i m disgusted that you idiots and the media go straight to islam in regards to the shootings this was more than that media orlando,0,1
ive been blockd from pages a lot the reason my views differed from theirs but being blockd for no reason is new thef ckhappnd,0,1
no wonder other countries think america is full of idiots in a time of crisis we point the finger at one another in our own state,0,1
lol ask again no please,0,1
the world of extremism,0,1
silence betrays the innocent activism hunger nofur animalrights noyulin eah wildlife vegan lgbt,1,0
beggers belief i know but its the kinder egg see on the news another gun siege is taking place now in texas,0,1
i fail to understand how in this day people can believe that race or sexual orientation can define a person as bad or wron,0,1
rage revenge liam neeson sam raimi darkman peyton westlake via giphy,0,1
would think that has facts faster than the press yet he fails to take a strong position,0,1
this is the type of nonsense from republicans is holding this country back prayersup for the family,0,1
well donald trump has officially reached the bottom this clown is paying hood chicks for promotion,0,1
when did you stop giving real sour cream lite anything is gross amp almost always worse for you than the real stuff confused,0,1
prayfororlando can we show love amp not hate by clifton w 0,0,1
media amp politicians r making it all about guns amp radicalislamic pending on agenda amp mourn the victims orlando tv,0,1
shame on and for suppoing a racist like this is not the conservative pay i love,0,1
don t know who that might be,0,1
i ma incredibly dishonesty narcissist constantly slandering others but it s not fair when i m on the receiving end,0,1
a must read in my opinion iamwithyou,0,1
the tale of ladies of marriageable age looking for husbands is at an all time high the economy is not helping us to help them,0,1
so deep need2know if clintons r eating brown bread drinkdark milk,1,0
how far has systemic hate come first giving a shit about where trans people piss amp now killing unarmed gorillas s,0,1
hitting way close to home is an understatement nj child porn arrest made at southjersey school via,0,1
is that ppl are so spiritually blind so as to not see socialism as coveteous idolatry ccot,0,1
this is happening with a lot of people i think it s something by yt not censorship,0,1
pmqs why is not being dealt with bloody beer destitute desperate povey,0,1
so we can win if u vote 4 hillary hahaha mediablackout statusquo moneywins feelthebern not evn fnny nemore,0,1
sex games on newgrounds teen,0,1
speakers dinner on eve of ricsrural conference betterwritemyspeech,0,1
this girl was all about the dysfunction quotes rideshare uber lyft humor relationships dysfunction,0,1
whoever said long distance military relationships don t work you never really tried,0,1
girliguessimwithher tag is the saddest representation of how people feel they are now forced to vote for her,0,1
in nh some cheer a dangerous caricature of a person using words he doesn t understand to try and capitalize on tragedy for votes,0,1
evidently the suits at told to say nothing about denver radio legend sandy clough,0,1
south sudan unrest exacerbated by conflict among cattle herders global development the guardian oil,0,1
only the young can break away actitudlunes tengohambre,0,1
obama just cleared the cow path old leaky bovine hillary will clatter along to return to the house she o,0,1
watching my atfotf did for an amp fix can t wait for november touime,0,1
the holy prophet muhammad pbuh said is the man who avoids hardship abudawud hadith quotes,0,1
i say it was just as good as thekingsspeech but it won t win an oscar,1,0
i want to punch a person,0,1
anyone on ubuntu and or just running systemd resolved beware disaster,0,1
that s the problem he doesn t even realize that mentioning the judges ethnicity is racist,0,1
removal of aap spokesperson alkalamba showcases dictatorial mindset of kejriwal,0,1
of all the republicans i am most disappointed w i thought he was a decent man until he endorsed trump,0,1
when i asked the sales assistants if they heard they quickly copped out hmm i wouldn t be surprised they said,1,0
bill liberals love their bleeding hea hashtags imfragile,0,1
msg of hope for newyear a business to end endof2016 tedtalks tedatibm,1,0
how did it get that bad what did no one notice why why hate hate does that jocoxmp insipid tragedy tolerance,0,1
